name,brand,price,rating
iphone 15 pro,apple,999,4.9
galaxy s23 ultra,samsung,1199,4.8
redmi note 12,xiaomi,199,4.6
poco x5 pro,xiaomi,299,4.4
pixel 7a,google,449,4.5
nothing phone 1,nothing,399,4.3
oneplus nord 3,oneplus,499,4.4
motorola edge 40,motorola,549,4.2
asus rog phone 7,asus,999,4.7
honor 90,honor,429,4.1
vivo x90,vivo,699,4.6
realme gt neo 5,realme,549,4.5
iphone 14,apple,799,4.8
galaxy a54,samsung,349,4.3
redmi 13,xiaomi,179,4.2
poco f5,xiaomi,379,4.4
pixel 8,google,699,4.7
oneplus 11,oneplus,699,4.6
asus zenfone 10,asus,749,4.5
honor magic5,honor,799,4.4
